text,intent
Where is my order? #1,order_status
Track my order please #2,order_status
Can you tell me my order status? #3,order_status
Where can I track my order? #4,order_status
Show me my order status #5,order_status
Is my order shipped? #6,order_status
Check my order progress #7,order_status
I want to know where my order is #8,order_status
Order tracking details please #9,order_status
Has my order been delivered? #10,order_status
What's the status of my order? #11,order_status
Track order now #12,order_status
Order update please #13,order_status
Where is the package? #14,order_status
Check delivery status #15,order_status
Where is my order? #16,order_status
Track my order please #17,order_status
Can you tell me my order status? #18,order_status
Where can I track my order? #19,order_status
Show me my order status #20,order_status
Is my order shipped? #21,order_status
Check my order progress #22,order_status
I want to know where my order is #23,order_status
Order tracking details please #24,order_status
Has my order been delivered? #25,order_status
What's the status of my order? #26,order_status
Track order now #27,order_status
Order update please #28,order_status
Where is the package? #29,order_status
Check delivery status #30,order_status
Where is my order? #31,order_status
Track my order please #32,order_status
Can you tell me my order status? #33,order_status
Where can I track my order? #34,order_status
Show me my order status #35,order_status
Is my order shipped? #36,order_status
Check my order progress #37,order_status
I want to know where my order is #38,order_status
Order tracking details please #39,order_status
Has my order been delivered? #40,order_status
What's the status of my order? #41,order_status
Track order now #42,order_status
Order update please #43,order_status
Where is the package? #44,order_status
Check delivery status #45,order_status
Where is my order? #46,order_status
Track my order please #47,order_status
Can you tell me my order status? #48,order_status
Where can I track my order? #49,order_status
Show me my order status #50,order_status
Is my order shipped? #51,order_status
Check my order progress #52,order_status
I want to know where my order is #53,order_status
Order tracking details please #54,order_status
Has my order been delivered? #55,order_status
What's the status of my order? #56,order_status
Track order now #57,order_status
Order update please #58,order_status
Where is the package? #59,order_status
Check delivery status #60,order_status
Where is my order? #61,order_status
Track my order please #62,order_status
Can you tell me my order status? #63,order_status
Where can I track my order? #64,order_status
Show me my order status #65,order_status
Is my order shipped? #66,order_status
Check my order progress #67,order_status
I want to know where my order is #68,order_status
Order tracking details please #69,order_status
Has my order been delivered? #70,order_status
What's the status of my order? #71,order_status
Track order now #72,order_status
Order update please #73,order_status
Where is the package? #74,order_status
Check delivery status #75,order_status
Where is my order? #76,order_status
Track my order please #77,order_status
Can you tell me my order status? #78,order_status
Where can I track my order? #79,order_status
Show me my order status #80,order_status
Is my order shipped? #81,order_status
Check my order progress #82,order_status
I want to know where my order is #83,order_status
Order tracking details please #84,order_status
Has my order been delivered? #85,order_status
What's the status of my order? #86,order_status
Track order now #87,order_status
Order update please #88,order_status
Where is the package? #89,order_status
Check delivery status #90,order_status
Where is my order? #91,order_status
Track my order please #92,order_status
Can you tell me my order status? #93,order_status
Where can I track my order? #94,order_status
Show me my order status #95,order_status
Is my order shipped? #96,order_status
Check my order progress #97,order_status
I want to know where my order is #98,order_status
Order tracking details please #99,order_status
Has my order been delivered? #100,order_status
I want to cancel my order #1,cancel_order
Cancel my order immediately #2,cancel_order
I placed an order by mistake #3,cancel_order
Please cancel my order #4,cancel_order
Stop my order #5,cancel_order
I don’t want this order anymore #6,cancel_order
Cancel the purchase #7,cancel_order
Abort my order #8,cancel_order
Cancel it now #9,cancel_order
I need to cancel this #10,cancel_order
Terminate my order #11,cancel_order
Delete my order #12,cancel_order
Cancel order request #13,cancel_order
Stop the delivery #14,cancel_order
I want to stop my order #15,cancel_order
I want to cancel my order #16,cancel_order
Cancel my order immediately #17,cancel_order
I placed an order by mistake #18,cancel_order
Please cancel my order #19,cancel_order
Stop my order #20,cancel_order
I don’t want this order anymore #21,cancel_order
Cancel the purchase #22,cancel_order
Abort my order #23,cancel_order
Cancel it now #24,cancel_order
I need to cancel this #25,cancel_order
Terminate my order #26,cancel_order
Delete my order #27,cancel_order
Cancel order request #28,cancel_order
Stop the delivery #29,cancel_order
I want to stop my order #30,cancel_order
I want to cancel my order #31,cancel_order
Cancel my order immediately #32,cancel_order
I placed an order by mistake #33,cancel_order
Please cancel my order #34,cancel_order
Stop my order #35,cancel_order
I don’t want this order anymore #36,cancel_order
Cancel the purchase #37,cancel_order
Abort my order #38,cancel_order
Cancel it now #39,cancel_order
I need to cancel this #40,cancel_order
Terminate my order #41,cancel_order
Delete my order #42,cancel_order
Cancel order request #43,cancel_order
Stop the delivery #44,cancel_order
I want to stop my order #45,cancel_order
I want to cancel my order #46,cancel_order
Cancel my order immediately #47,cancel_order
I placed an order by mistake #48,cancel_order
Please cancel my order #49,cancel_order
Stop my order #50,cancel_order
I don’t want this order anymore #51,cancel_order
Cancel the purchase #52,cancel_order
Abort my order #53,cancel_order
Cancel it now #54,cancel_order
I need to cancel this #55,cancel_order
Terminate my order #56,cancel_order
Delete my order #57,cancel_order
Cancel order request #58,cancel_order
Stop the delivery #59,cancel_order
I want to stop my order #60,cancel_order
I want to cancel my order #61,cancel_order
Cancel my order immediately #62,cancel_order
I placed an order by mistake #63,cancel_order
Please cancel my order #64,cancel_order
Stop my order #65,cancel_order
I don’t want this order anymore #66,cancel_order
Cancel the purchase #67,cancel_order
Abort my order #68,cancel_order
Cancel it now #69,cancel_order
I need to cancel this #70,cancel_order
Terminate my order #71,cancel_order
Delete my order #72,cancel_order
Cancel order request #73,cancel_order
Stop the delivery #74,cancel_order
I want to stop my order #75,cancel_order
I want to cancel my order #76,cancel_order
Cancel my order immediately #77,cancel_order
I placed an order by mistake #78,cancel_order
Please cancel my order #79,cancel_order
Stop my order #80,cancel_order
I don’t want this order anymore #81,cancel_order
Cancel the purchase #82,cancel_order
Abort my order #83,cancel_order
Cancel it now #84,cancel_order
I need to cancel this #85,cancel_order
Terminate my order #86,cancel_order
Delete my order #87,cancel_order
Cancel order request #88,cancel_order
Stop the delivery #89,cancel_order
I want to stop my order #90,cancel_order
I want to cancel my order #91,cancel_order
Cancel my order immediately #92,cancel_order
I placed an order by mistake #93,cancel_order
Please cancel my order #94,cancel_order
Stop my order #95,cancel_order
I don’t want this order anymore #96,cancel_order
Cancel the purchase #97,cancel_order
Abort my order #98,cancel_order
Cancel it now #99,cancel_order
I need to cancel this #100,cancel_order
I want a refund #1,refund_request
Refund my money #2,refund_request
I need my money back #3,refund_request
Please process my refund #4,refund_request
Return my payment #5,refund_request
I want my cash back #6,refund_request
Refund request #7,refund_request
Give me a refund #8,refund_request
"I didn’t like it, refund me #9",refund_request
Money back please #10,refund_request
Can I get a refund? #11,refund_request
Requesting refund #12,refund_request
Refund this order #13,refund_request
I want to return and refund #14,refund_request
Issue my refund now #15,refund_request
I want a refund #16,refund_request
Refund my money #17,refund_request
I need my money back #18,refund_request
Please process my refund #19,refund_request
Return my payment #20,refund_request
I want my cash back #21,refund_request
Refund request #22,refund_request
Give me a refund #23,refund_request
"I didn’t like it, refund me #24",refund_request
Money back please #25,refund_request
Can I get a refund? #26,refund_request
Requesting refund #27,refund_request
Refund this order #28,refund_request
I want to return and refund #29,refund_request
Issue my refund now #30,refund_request
I want a refund #31,refund_request
Refund my money #32,refund_request
I need my money back #33,refund_request
Please process my refund #34,refund_request
Return my payment #35,refund_request
I want my cash back #36,refund_request
Refund request #37,refund_request
Give me a refund #38,refund_request
"I didn’t like it, refund me #39",refund_request
Money back please #40,refund_request
Can I get a refund? #41,refund_request
Requesting refund #42,refund_request
Refund this order #43,refund_request
I want to return and refund #44,refund_request
Issue my refund now #45,refund_request
I want a refund #46,refund_request
Refund my money #47,refund_request
I need my money back #48,refund_request
Please process my refund #49,refund_request
Return my payment #50,refund_request
I want my cash back #51,refund_request
Refund request #52,refund_request
Give me a refund #53,refund_request
"I didn’t like it, refund me #54",refund_request
Money back please #55,refund_request
Can I get a refund? #56,refund_request
Requesting refund #57,refund_request
Refund this order #58,refund_request
I want to return and refund #59,refund_request
Issue my refund now #60,refund_request
I want a refund #61,refund_request
Refund my money #62,refund_request
I need my money back #63,refund_request
Please process my refund #64,refund_request
Return my payment #65,refund_request
I want my cash back #66,refund_request
Refund request #67,refund_request
Give me a refund #68,refund_request
"I didn’t like it, refund me #69",refund_request
Money back please #70,refund_request
Can I get a refund? #71,refund_request
Requesting refund #72,refund_request
Refund this order #73,refund_request
I want to return and refund #74,refund_request
Issue my refund now #75,refund_request
I want a refund #76,refund_request
Refund my money #77,refund_request
I need my money back #78,refund_request
Please process my refund #79,refund_request
Return my payment #80,refund_request
I want my cash back #81,refund_request
Refund request #82,refund_request
Give me a refund #83,refund_request
"I didn’t like it, refund me #84",refund_request
Money back please #85,refund_request
Can I get a refund? #86,refund_request
Requesting refund #87,refund_request
Refund this order #88,refund_request
I want to return and refund #89,refund_request
Issue my refund now #90,refund_request
I want a refund #91,refund_request
Refund my money #92,refund_request
I need my money back #93,refund_request
Please process my refund #94,refund_request
Return my payment #95,refund_request
I want my cash back #96,refund_request
Refund request #97,refund_request
Give me a refund #98,refund_request
"I didn’t like it, refund me #99",refund_request
Money back please #100,refund_request
My subscription is not working #1,subscription_issue
Subscription failed #2,subscription_issue
I can't access my subscription #3,subscription_issue
My plan is not active #4,subscription_issue
Subscription problem #5,subscription_issue
Fix my subscription #6,subscription_issue
Subscription error #7,subscription_issue
Why is my subscription not working? #8,subscription_issue
